Issue key,Summary,Status,Assignee,Reporter,ETA,Priority,Created,Updated
"PRP-1436","Platform UI_Vehicle Registration Number field is not mandatory on DEMS â€“ should be required","Done","Jinay Gadiya","Jinay Gadiya","18/06","None","2026-06-18T17:26:52.982+0530","2026-06-22T11:50:05.455+0530"
"PRP-1414","Transaction ID suffix and Loan Balance display issue for Boda Union","Done","Jinay Gadiya","Bhagyashri Mahake","Today","None","2026-06-16T11:28:15.610+0530","2026-06-17T16:23:01.723+0530"
"PRP-1398","Platform UI_Asset Financer, Asset Financer Name, and Loan ID fields are missing in Customer UI and Database","Done","Jinay Gadiya","Bhagyashri Mahake","Today","None","2026-06-15T10:13:49.675+0530","2026-06-16T16:59:24.829+0530"
"PRP-1395","Rental_Rental Not Created After Scheduler Trigger POST /api/scheduler/run","Done","Jinay Gadiya","Jinay Gadiya","14/06","None","2026-06-14T12:29:18.846+0530","2026-06-16T16:24:35.703+0530"
"PRP-1371","Rental_Rental Status Not Updated After Due Payment","Done","Jinay Gadiya","Jinay Gadiya","11/06","None","2026-06-11T18:35:40.770+0530","2026-06-16T12:36:42.875+0530"
"PRP-1373","Rental_Platform UI_Missing â€œRental Trigger Dateâ€ Field in Customer Module","Done","Jinay Gadiya","Jinay Gadiya","11/06","None","2026-06-11T18:42:53.525+0530","2026-06-16T11:33:46.480+0530"
"PRP-1372","Rental_Duplicate Rental Creation Allowed for Same Customer on Same Day","Done","Jinay Gadiya","Jinay Gadiya","11/06","None","2026-06-11T18:38:19.036+0530","2026-06-15T15:08:57.799+0530"
"PRP-1389","Rental_Incorrect Handling of CustomerID & CountryCode Combination","Done","Jinay Gadiya","Jinay Gadiya","13/06","None","2026-06-13T08:40:21.525+0530","2026-06-15T12:00:20.911+0530"
"PRP-1390","Customer Module_Error While Updating Mobile Number in Customer Module","Done","Jinay Gadiya","Jinay Gadiya","13/06","None","2026-06-13T09:02:58.413+0530","2026-06-14T12:25:04.148+0530"
"PRP-1374","Rental_Platform Ui_Rental ID Filter Not Returning Records in Rental Module","Done","Jinay Gadiya","Jinay Gadiya","11/06","None","2026-06-11T18:50:54.080+0530","2026-06-14T11:22:00.173+0530"
"PRP-1376","Rental_Rental status not updating due to inconsistent dues status value (PENDING vs Pending)","Done","Jinay Gadiya","Jinay Gadiya","11/06","None","2026-06-11T20:05:31.682+0530","2026-06-14T11:20:25.989+0530"
"PRP-1311","DEMS UI_IAM_Incorrect Country Code Value Display When create the user","Deferred","Jinay Gadiya","Jinay Gadiya","04/06","None","2026-06-04T17:34:29.881+0530","2026-06-12T17:08:33.866+0530"
"PRP-1324","Dues_API_driverId field incorrectly mapped/validated â€“ accepting Customer ID format instead of numeric Driver ID","Deferred","Jinay Gadiya","Jinay Gadiya","05/06","None","2026-06-05T15:29:03.228+0530","2026-06-12T17:08:32.924+0530"
